bank,date,var_99_gaussian,var_99_boa_factor
statestreet,2012-09-30,5.13,5.13
goldmansachs,2012-06-30,120.21712209125667,170.0
morganstanley,2012-06-30,107.48825034041774,152.0
jpmorgan,2012-06-30,106.07393125699119,150.0
citigroup,2012-06-30,149.0,149.0
bankofamerica,2012-06-30,62.5,62.5
wellsfargo,2012-06-30,31.0,31.0
bny,2012-06-30,10.0,10.0
statestreet,2012-06-30,5.13,5.13
goldmansachs,2012-03-31,134.36031292552215,190.0
morganstanley,2012-03-31,110.31688850727083,156.0
jpmorgan,2012-03-31,114.55984575755048,162.0
citigroup,2012-03-31,178.0,178.0
bankofamerica,2012-03-31,84.1,84.1
wellsfargo,2012-03-31,32.0,32.0
bny,2012-03-31,9.0,9.0
statestreet,2012-03-31,5.13,5.13
goldmansachs,2011-12-31,140.01758925922837,198.0
morganstanley,2011-12-31,123.04576025810977,174.0
jpmorgan,2011-12-31,107.48825034041774,152.0
citigroup,2011-12-31,183.0,183.0
bankofamerica,2011-12-31,88.4,88.4
wellsfargo,2011-12-31,32.0,32.0
bny,2011-12-31,11.3,11.3
statestreet,2011-12-31,5.13,5.13
goldmansachs,2011-09-30,203.66194801342306,288.0
morganstanley,2011-09-30,202.24762892999652,286.0
jpmorgan,2011-09-30,99.00233583985843,140.0
citigroup,2011-09-30,196.0,196.0
bankofamerica,2011-09-30,163.7,163.7
wellsfargo,2011-09-30,30.0,30.0
bny,2011-09-30,13.3,13.3
statestreet,2011-09-30,5.13,5.13
goldmansachs,2011-06-30,120.21712209125667,170.0
morganstanley,2011-06-30,182.44716176202485,258.0
jpmorgan,2011-06-30,108.90256942384428,154.0
citigroup,2011-06-30,168.0,168.0
bankofamerica,2011-06-30,229.2,229.2
wellsfargo,2011-06-30,28.0,28.0
bny,2011-06-30,8.1,8.1
statestreet,2011-06-30,5.13,5.13
goldmansachs,2011-03-31,158.4037373437735,224.0
morganstanley,2011-03-31,189.51875717915757,268.0
jpmorgan,2011-03-31,117.38848392440357,166.0
citigroup,2011-03-31,195.0,195.0
bankofamerica,2011-03-31,183.9,183.9
wellsfargo,2011-03-31,25.0,25.0
bny,2011-03-31,7.5,7.5
statestreet,2011-03-31,5.13,5.13
goldmansachs,2010-12-31,156.98941826034695,222.0
morganstanley,2010-12-31,166.8896518443328,236.0
jpmorgan,2010-12-31,123.04576025810977,174.0
citigroup,2010-12-31,191.0,191.0
bankofamerica,2010-12-31,157.1,157.1
wellsfargo,2010-12-31,30.0,30.0
bny,2010-12-31,3.9,3.9
statestreet,2010-12-31,5.13,5.13
goldmansachs,2010-09-30,176.78988542831863,250.0
morganstanley,2010-09-30,294.1783693527222,416.0
jpmorgan,2010-09-30,140.01758925922837,198.0
citigroup,2010-09-30,213.0,213.0
bankofamerica,2010-09-30,185.0,185.0
wellsfargo,2010-09-30,31.0,31.0
bny,2010-09-30,9.2,9.2
statestreet,2010-09-30,5.13,5.13
goldmansachs,2010-06-30,195.17603351286377,276.0
morganstanley,2010-06-30,231.94832968195405,328.0
jpmorgan,2010-06-30,127.28871750838942,180.0
citigroup,2010-06-30,188.0,188.0
bankofamerica,2010-06-30,189.0,189.0
wellsfargo,2010-06-30,30.0,30.0
bny,2010-06-30,6.6,6.6
statestreet,2010-06-30,5.13,5.13
goldmansachs,2010-03-31,231.94832968195405,328.0
morganstanley,2010-03-31,236.1912869322337,334.0
jpmorgan,2010-03-31,115.97416484097702,164.0
citigroup,2010-03-31,200.0,200.0
bankofamerica,2010-03-31,275.8,275.8
wellsfargo,2010-03-31,38.0,38.0
bny,2010-03-31,10.9,10.9
statestreet,2010-03-31,5.13,5.13
goldmansachs,2009-12-31,216.390819764262,306.0
morganstanley,2009-12-31,264.4776686007647,374.0
jpmorgan,2009-12-31,231.94832968195405,328.0
citigroup,2009-12-31,163.0,163.0
bankofamerica,2009-12-31,255.7,255.7
wellsfargo,2009-12-31,45.0,45.0
bny,2009-12-31,8.1,8.1
statestreet,2009-12-31,5.13,5.13
goldmansachs,2009-09-30,267.3063067676178,378.0
morganstanley,2009-09-30,247.5058395996461,350.0
jpmorgan,2009-09-30,291.34973118586913,412.0
citigroup,2009-09-30,281.0,281.0
bankofamerica,2009-09-30,159.4,159.4
wellsfargo,2009-09-30,42.0,42.0
bny,2009-09-30,6.0,6.0
statestreet,2009-09-30,5.13,5.13
goldmansachs,2009-06-30,312.56451743726734,442.0
morganstanley,2009-06-30,244.677201432793,346.0
jpmorgan,2009-06-30,377.6231952748886,534.0
citigroup,2009-06-30,260.0,260.0
bankofamerica,2009-06-30,167.7,167.7
wellsfargo,2009-06-30,59.0,59.0
bny,2009-06-30,4.5,4.5
statestreet,2009-06-30,5.13,5.13
goldmansachs,2009-03-31,376.2088761914621,532.0
morganstanley,2009-03-31,192.34739534601067,272.0
jpmorgan,2009-03-31,475.2112120313205,672.0
citigroup,2009-03-31,291.0,291.0
bankofamerica,2009-03-31,244.6,244.6
wellsfargo,2009-03-31,103.0,103.0
bny,2009-03-31,8.8,8.8
statestreet,2009-03-31,5.13,5.13
goldmansachs,2008-12-31,326.70770827153285,462.0
