date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,dividend_payout_ratio,repo,total_var
2006-06-30,2006,2,statestreet,102536.0,6469.0,96067.0,,,,0.97,29.07,21204.0,
2006-06-30,2006,2,wellsfargo,499516.0,41894.0,457622.0,,,,1.7,89.69,,
2006-05-31,2006,2,morganstanley,1027043.0,32255.0,994788.0,,,,0.54,19.59,318498.0,
2006-05-26,2006,2,goldmansachs,798884.0,31800.0,767084.0,,,,1.13,7.26,146909.0,
2006-03-31,2006,1,bankofamerica,1375080.0,129426.0,1245654.0,,,,1.32,46.76,236919.0,
2006-03-31,2006,1,bny,103611.0,10101.0,93510.0,,,,1.32,45.02,903.0,
2006-03-31,2006,1,citigroup,1586201.0,114418.0,1471783.0,,,,1.35,44.67,279540.0,
2006-03-31,2006,1,jpmorgan,1273282.0,108337.0,1164945.0,,,,0.74,39.86,151006.0,
2006-03-31,2006,1,statestreet,104156.0,6413.0,97743.0,,,,0.98,22.83,24826.0,
2006-03-31,2006,1,wellsfargo,492428.0,41961.0,450467.0,,,,1.69,43.31,,
2006-02-28,2006,1,morganstanley,959613.0,30123.0,929490.0,,,,0.51,22.44,297614.0,
2006-02-24,2006,1,goldmansachs,758821.0,28915.0,729906.0,,,,0.97,4.97,167226.0,
2005-12-31,2005,4,bankofamerica,1291803.0,101533.0,1190270.0,,,,1.37,56.22,240655.0,
2005-12-31,2005,4,bny,102118.0,9876.0,92242.0,,,,1.37,47.79,834.0,
2005-12-31,2005,4,citigroup,1494037.0,112537.0,1381500.0,,,,1.37,91.77,242392.0,
2005-12-31,2005,4,jpmorgan,1198942.0,107211.0,1091731.0,,,,0.7,45.38,125925.0,
2005-12-31,2005,4,statestreet,97968.0,6367.0,91601.0,,,,0.98,20.52,22099.0,
2005-12-31,2005,4,wellsfargo,481741.0,40660.0,441081.0,,,,1.69,0.0,,
2005-11-30,2005,4,morganstanley,898523.0,29182.0,869341.0,,,,0.55,26.3,280831.0,
2005-11-25,2005,4,goldmansachs,706804.0,28002.0,675638.0,,,,0.91,6.71,149026.0,
2005-09-30,2005,3,bankofamerica,1252267.0,101728.0,1150539.0,,,,1.44,52.61,217053.0,
