date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2012-03-31,2012,1,bankofamerica,2181449.0,213711.0,1948950.0,,,,0.0,-0.61,34.86,258491.0,84.1
2012-03-31,2012,1,bny,300169.0,34000.0,265340.0,,,,0.89,7.39,25.61,8285.0,9.0
2012-03-31,2012,1,citigroup,1944423.0,181508.0,1760700.0,,,,0.57,6.1,1.04,226008.0,178.0
2012-03-31,2012,1,goldmansachs,950932.0,68556.0,877899.0,,,,0.41,5.33,8.92,173092.0,134.36031292552215
2012-03-31,2012,1,jpmorgan,2320164.0,181469.0,2130895.0,,,,0.81,9.6,26.09,250483.0,114.55984575755048
2012-03-31,2012,1,morganstanley,781030.0,60816.0,710438.0,13.3,,,0.46,2.32,,130696.0,110.31688850727085
2012-03-31,2012,1,statestreet,187956.0,19659.0,167797.0,,,,1.04,9.56,28.18,8058.0,5.13
2012-03-31,2012,1,wellsfargo,1333799.0,133415.0,1186950.0,,,,1.3,12.14,28.97,,32.0
2011-12-31,2011,4,bankofamerica,2129046.0,211704.0,1898945.0,,,,0.07,0.05,6.82,214864.0,88.4
2011-12-31,2011,4,bny,325266.0,33417.0,291065.0,,,,0.9,7.54,31.8,6267.0,11.3
2011-12-31,2011,4,citigroup,1873878.0,177494.0,1694305.0,,,,0.59,6.31,3.14,198373.0,183.0
2011-12-31,2011,4,goldmansachs,923225.0,67279.0,851396.0,,,,0.48,3.65,19.12,164502.0,140.01758925922837
2011-12-31,2011,4,jpmorgan,2265792.0,175773.0,2082219.0,,,,0.87,10.21,28.67,213532.0,107.48825034041774
2011-12-31,2011,4,morganstanley,749898.0,60541.0,679820.0,,,,0.6,3.9,,120194.0,123.04576025810977
2011-12-31,2011,4,statestreet,216827.0,18898.0,197429.0,,,,1.02,10.26,23.45,9228.0,5.13
2011-12-31,2011,4,wellsfargo,1313867.0,128810.0,1172180.0,,,,1.26,12.19,16.26,,32.0
2011-09-30,2011,3,bankofamerica,2219628.0,210772.0,1989376.0,,,,-0.08,-1.45,1.64,248116.0,163.7
2011-09-30,2011,3,bny,322187.0,33695.0,287658.0,,,,0.97,8.09,25.0,6768.0,13.3
2011-09-30,2011,3,citigroup,1935992.0,177060.0,1756650.0,,,,0.58,6.45,0.62,223612.0,196.0
2011-09-30,2011,3,goldmansachs,948909.0,66988.0,877346.0,,,,0.63,5.54,,143498.0,203.66194801342303
2011-09-30,2011,3,jpmorgan,2289240.0,174487.0,2106953.0,,,,0.91,10.89,25.18,238585.0,99.00233583985845
2011-09-30,2011,3,morganstanley,794939.0,60320.0,724845.0,,,,0.73,5.56,4.52,125088.0,202.24762892999652
2011-09-30,2011,3,statestreet,208795.0,19151.0,189144.0,,,,0.85,8.67,16.57,16477.0,5.13
2011-09-30,2011,3,wellsfargo,1304945.0,126202.0,1165701.0,,,,1.23,11.92,16.57,,30.0
2011-06-30,2011,2,bankofamerica,2261319.0,205614.0,2039143.0,,,,-0.66,-7.75,,239521.0,229.2
2011-06-30,2011,2,bny,304706.0,33851.0,269983.0,,,,1.02,8.23,22.42,7572.0,8.1
2011-06-30,2011,2,citigroup,1956626.0,176052.0,1777981.0,,,,0.53,5.92,0.0,203843.0,168.0
2011-06-30,2011,2,goldmansachs,936910.0,69256.0,863362.0,,,,0.89,8.7,18.63,155450.0,120.21712209125668
2011-06-30,2011,2,jpmorgan,2246764.0,175079.0,2063885.0,,,,0.95,11.02,19.79,254124.0,108.90256942384428
2011-06-30,2011,2,morganstanley,830747.0,58199.0,762604.0,,,,0.55,2.01,,154448.0,182.44716176202485
2011-06-30,2011,2,statestreet,190455.0,19334.0,170621.0,,,,0.92,8.98,17.73,12247.0,5.13
2011-06-30,2011,2,wellsfargo,1259734.0,124671.0,1121818.0,,,,1.19,11.62,17.03,,28.0
2011-03-31,2011,1,bankofamerica,2274532.0,214314.0,2043656.0,,,,-0.15,-2.09,6.09,260521.0,183.9
2011-03-31,2011,1,bny,266444.0,33258.0,232304.0,,,,1.11,8.19,18.11,5435.0,7.5
2011-03-31,2011,1,citigroup,1947815.0,170725.0,1774422.0,,,,0.49,5.75,1.0,187825.0,195.0
2011-03-31,2011,1,goldmansachs,933289.0,69369.0,859938.0,,,,0.84,7.87,21.81,165475.0,158.4037373437735
2011-03-31,2011,1,jpmorgan,2198161.0,172798.0,2017563.0,,,,0.9,10.89,20.52,285444.0,117.38848392440356
2011-03-31,2011,1,morganstanley,836185.0,48589.0,769677.0,,,,0.55,6.06,10.27,174960.0,189.51875717915755
2011-03-31,2011,1,statestreet,171796.0,18680.0,152616.0,,,,0.94,8.88,19.74,11738.0,5.13
2011-03-31,2011,1,wellsfargo,1244666.0,121574.0,1109723.0,,,,1.12,11.23,17.76,,25.0
2010-12-31,2010,4,bankofamerica,2264909.0,211686.0,2036661.0,,,,-0.1,-1.77,,245359.0,157.1
2010-12-31,2010,4,bny,247259.0,32354.0,214102.0,,,,1.15,8.35,16.52,5602.0,3.9
2010-12-31,2010,4,citigroup,1913902.0,163156.0,1748113.0,,,,0.58,6.67,0.0,189558.0,191.0
2010-12-31,2010,4,goldmansachs,911332.0,70399.0,833104.0,,,,0.95,11.5,8.98,162345.0,156.98941826034695
2010-12-31,2010,4,jpmorgan,2117605.0,168306.0,1941499.0,,,,0.84,9.69,4.7,276644.0,123.04576025810977
2010-12-31,2010,4,morganstanley,807698.0,47614.0,742291.0,,,,0.69,8.0,11.92,168761.0,166.8896518443328
2010-12-31,2010,4,statestreet,160505.0,17787.0,142718.0,,,,0.98,9.54,6.17,15347.0,5.13
2010-12-31,2010,4,wellsfargo,1258128.0,117719.0,1130239.0,,,,1.01,10.53,8.11,,30.0
2010-09-30,2010,3,bankofamerica,2339660.0,212391.0,2109165.0,,,,-0.05,-3.49,,296605.0,185.0
2010-09-30,2010,3,bny,254157.0,32153.0,221266.0,,,,1.14,8.57,17.58,3301.0,9.2
2010-09-30,2010,3,citigroup,1983280.0,162601.0,1818097.0,,,,0.1,0.96,0.0,192065.0,213.0
2010-09-30,2010,3,goldmansachs,908679.0,68700.0,832176.0,,,,1.22,16.17,11.51,150429.0,176.78988542831863
2010-09-30,2010,3,jpmorgan,2141595.0,166030.0,1967765.0,,,,0.76,8.94,5.15,314161.0,140.01758925922837
2010-09-30,2010,3,morganstanley,841372.0,47279.0,775790.0,,,,0.63,7.31,83.13,184173.0,294.1783693527222
2010-09-30,2010,3,statestreet,172964.0,17569.0,155395.0,,,,1.17,12.62,0.93,13979.0,5.13
2010-09-30,2010,3,wellsfargo,1220784.0,114818.0,1095619.0,,,,0.99,8.56,8.35,,31.0
2010-06-30,2010,2,bankofamerica,2368384.0,215181.0,2135210.0,,,,0.22,-0.97,3.65,307211.0,189.0
2010-06-30,2010,2,bny,235693.0,30396.0,204588.0,,,,-0.18,-1.63,16.64,2712.0,6.6
2010-06-30,2010,2,citigroup,1937656.0,154494.0,1780326.0,,,,-0.01,-3.35,0.0,196112.0,188.0
2010-06-30,2010,2,goldmansachs,883188.0,66862.0,808400.0,,,,1.38,18.85,43.93,149908.0,195.17603351286377
2010-06-30,2010,2,jpmorgan,2014019.0,162968.0,1842899.0,,,,0.74,8.73,4.81,237455.0,127.28871750838942
2010-06-30,2010,2,morganstanley,809456.0,41416.0,750297.0,,,,0.71,9.38,6.27,199915.0,231.94832968195405
2010-06-30,2010,2,statestreet,162075.0,16059.0,146016.0,,,,1.11,12.39,1.17,14505.0,5.13
2010-06-30,2010,2,wellsfargo,1225862.0,110792.0,1104464.0,,,,0.96,8.54,9.03,,30.0
2010-03-31,2010,1,bankofamerica,2344634.0,211859.0,2114811.0,,,,0.22,-1.27,3.88,270601.0,275.8
2010-03-31,2010,1,bny,220551.0,29683.0,190096.0,,,,-0.28,-3.14,18.29,3882.0,10.9
2010-03-31,2010,1,citigroup,2002213.0,151109.0,1848434.0,,,,0.08,-3.41,0.0,207911.0,200.0
